,playerId,season,name,team,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,sv_pct,next_sv_pct
316,8474765,2012,Anders Lindback,T.B,24,78251.0,58.98,63.0,1194.0,45.53,39.0,149.19,162.0,657.41,642.0,17.91,18.0,365.28,277.0,273.83,354.0,57.19,678.0,186.0,51.0,19.42,22.49,17.06,19.0,22.0,22.0,279.0,0.9018691588785047,0.8913793103448275
91,8474550,2012,Antti Niemi,S.J,43,154846.0,99.67,93.0,2441.0,83.8,79.0,287.81,384.0,1232.7,1220.0,43.88,34.0,687.19,511.0,520.78,619.0,96.65,1348.0,279.0,92.0,35.97,33.7,30.0,29.0,30.0,34.0,722.0,0.9237704918032787,0.9126611957796014
26,8471750,2012,Ben Bishop,T.B,22,75338.0,63.17,56.0,1272.0,46.23,59.0,158.65,158.0,689.94,701.0,20.24,13.0,386.63,324.0,288.87,349.0,60.66,721.0,190.0,55.0,21.32,22.87,18.98,19.0,14.0,23.0,306.0,0.920114122681883,0.9243888573052871
266,8475681,2012,Ben Scrivens,TOR,20,61491.0,44.09,46.0,1037.0,37.51,41.0,126.71,111.0,545.23,542.0,16.32,14.0,305.06,270.0,228.54,265.0,42.47,571.0,157.0,32.0,15.65,19.03,9.41,16.0,21.0,9.0,277.0,0.915129151291513,0.9219917012448133
141,8474651,2012,Braden Holtby,WSH,36,125354.0,92.77,90.0,2027.0,74.21,83.0,239.59,268.0,1064.03,1123.0,31.59,29.0,600.29,459.0,439.12,544.0,89.23,1113.0,278.0,89.0,31.2,34.03,27.54,36.0,30.0,24.0,547.0,0.9198575244879786,0.9145762711864407
21,8470880,2012,Brian Elliott,STL,24,75116.0,44.26,49.0,1000.0,36.27,31.0,123.97,146.0,541.04,526.0,18.33,20.0,297.35,203.0,229.03,298.0,43.41,578.0,127.0,43.0,15.87,14.97,13.42,17.0,12.0,20.0,252.0,0.9068441064638784,0.9221732745961821
406,8471679,2012,Carey Price,MTL,39,133741.0,86.74,97.0,1939.0,63.8,56.0,230.54,238.0,987.62,1018.0,36.98,49.0,552.31,425.0,427.07,541.0,82.62,1090.0,227.0,76.0,28.88,27.52,30.34,31.0,33.0,33.0,546.0,0.9047151277013752,0.9266958424507659
321,8470645,2012,Corey Crawford,CHI,30,105631.0,63.77,57.0,1387.0,51.78,44.0,166.89,159.0,737.47,769.0,26.68,34.0,413.76,335.0,306.85,410.0,61.78,783.0,192.0,52.0,22.47,23.18,18.11,16.0,19.0,22.0,360.0,0.9258777633289987,0.9165035877364645
361,8471239,2012,Cory Schneider,VAN,30,103999.0,67.38,61.0,1465.0,57.22,57.0,181.73,186.0,804.56,835.0,25.57,23.0,442.05,358.0,335.52,418.0,64.48,839.0,213.0,58.0,23.65,26.53,17.2,22.0,19.0,20.0,355.0,0.9269461077844311,0.9205058717253839
376,8467950,2012,Craig Anderson,OTT,24,85236.0,53.44,40.0,1194.0,44.67,44.0,153.54,158.0,656.34,677.0,24.55,25.0,372.55,297.0,273.14,360.0,50.9,729.0,141.0,49.0,19.69,17.12,16.63,12.0,13.0,15.0,275.0,0.9409158050221565,0.9107674003569304
